,Latitude,Longitude,Order Item Discount,Order Item Product Price,Order Profit Per Order,Days for shipping (real),Days for shipment (scheduled),Late_delivery
2922,35.89852142,-81.52240753,3.75,25.0,2.549999952,2,2,0
2923,40.67582321,-111.9388199,9.0,25.0,2.50999999,2,4,0
2924,18.25039673,-66.37051392,22.10000038,129.9900055,2.160000086,4,4,0
2925,18.21322632,-66.37057495,22.10000038,129.9900055,16.18000031,4,4,0
2926,18.20978355,-66.37054443,10.19999981,59.99000168,-87.13999939,5,4,1
2927,18.43495941,-66.36897278,22.10000038,129.9900055,26.96999931,2,4,0
2928,18.26209831,-66.3706131,23.39999962,129.9900055,50.09999847,5,4,1
2929,18.33710861,-66.99221802,10.80000019,59.99000168,4.920000076,4,4,0
2930,18.21322632,-66.37057495,23.39999962,129.9900055,1.2799999709999998,4,4,0
2931,18.25967407,-66.37052918,10.80000019,59.99000168,14.27000046,2,4,0
2932,18.43495941,-66.36897278,23.39999962,129.9900055,38.68999863,2,4,0
2933,18.22757149,-66.04357147,23.39999962,129.9900055,10.65999985,6,4,1
2934,18.23809052,-66.37059784,26.0,129.9900055,6.4499998089999995,4,4,0
2935,18.29424477,-66.37057495,32.5,129.9900055,11.02000046,6,4,1
2936,18.24276352,-66.03706360000001,89.27999878,357.10000610000003,97.22000122,5,4,1
2937,18.23209763,-66.37062073,0.0,50.0,24.0,5,4,1
2938,18.2275734,-66.0435791,0.0,50.0,17.5,6,4,1
2939,18.26871681,-66.37049866,0.0,39.99000168,18.39999962,3,4,0
2940,18.22671509,-66.37055969,0.0,50.0,24.5,3,4,0
2941,18.26871681,-66.37049866,0.400000006,39.99000168,4.9499998089999995,3,4,0
2942,18.29108048,-66.37050629,0.5,50.0,4.9499998089999995,6,4,1
2943,18.22920799,-66.37052918,1.0,50.0,24.01000023,4,4,0
2944,18.21489143,-66.3705368,1.5,50.0,14.0699997,5,4,1
2945,18.27369881,-66.37052918,2.0,50.0,15.60000038,4,4,0
2946,18.25079155,-66.37054443,2.5,50.0,22.79999924,6,4,1
2947,18.27272224,-66.37054443,2.5,50.0,5.940000057000001,2,4,0
2948,18.25601006,-66.37051392,2.200000048,39.99000168,-10.39000034,6,4,1
2949,18.25079155,-66.37054443,2.75,50.0,5.909999847000001,6,4,1
2950,18.26138115,-66.37056732,3.599999905,39.99000168,9.829999924,6,4,1
2951,18.2542057,-66.37063599,4.0,39.99000168,5.760000229,2,4,0
2952,18.22523689,-66.37063599,5.0,50.0,-32.99000168,5,4,1
2953,18.2505703,-66.37058258,5.0,50.0,16.64999962,2,4,0
2954,18.22842217,-66.37060547,4.8000001910000005,39.99000168,2.640000105,2,4,0
2955,18.22441864,-66.3706131,6.0,50.0,-3.1199998860000004,4,4,0
2956,18.247612,-66.02527618,6.5,50.0,-7.260000229,3,4,0
2957,18.22186279,-66.37063599,7.5,50.0,19.97999954,3,4,0
2958,18.20403862,-66.37058258,6.0,39.99000168,12.75,5,4,1
2959,18.25926209,-66.37062836,9.0,50.0,0.0,2,4,0
2960,18.28809357,-66.37055969,12.60000038,70.0,28.12999916,6,4,1
2961,18.27609444,-66.3705368,10.0,50.0,0.47999998899999996,6,4,1
2962,18.2179451,-66.3706131,10.0,50.0,3.0,2,4,0
2963,18.20524597,-66.37050629,10.0,50.0,3.5199999810000002,5,4,1
2964,18.29413223,-66.37058258,0.0,24.98999977,6.5,5,4,1
2965,18.29842567,-66.37059784,15.0,299.98999019999997,111.15000149999999,4,4,0
2966,18.22829056,-66.37056732,51.0,299.98999019999997,62.25,4,4,0
2967,18.25560951,-66.37059784,0.0,299.980011,131.9900055,6,4,1
2968,18.26930046,-66.37051392,0.0,299.980011,143.9900055,6,4,1
2969,18.27420235,-66.37054443,0.0,299.980011,134.9900055,5,4,1
2970,18.26502037,-66.37055969,0.0,399.980011,-599.9699707000001,2,4,0
2971,18.22523689,-66.37063599,0.0,399.980011,103.9899979,5,4,1
2972,29.93087578,-81.33435059,4.0,399.980011,-989.9500122000002,3,4,0
2973,18.2232132,-66.3705368,6.0,299.980011,95.54000092,2,4,0
2974,18.22927094,-66.37062836,9.0,299.980011,-192.0500031,3,4,0
2975,18.23714256,-66.37059784,12.0,299.980011,23.89999962,6,4,1
2976,18.22759438,-66.04356384,12.0,299.980011,-239.8899994,6,4,1
2977,18.2279911,-66.37052155,12.0,299.980011,83.51000214,2,4,0
2978,18.21489143,-66.3705368,12.0,299.980011,86.38999939,5,4,1
2979,18.21429825,-66.37050629,15.0,299.980011,142.4900055,6,4,1
2980,18.2542057,-66.37063599,15.0,299.980011,79.79000092,2,4,0
2981,18.24002457,-66.37059021,15.0,299.980011,-3.700000048,4,4,0
2982,18.22671509,-66.37055969,16.5,299.980011,-180.28999330000002,3,4,0
2983,18.29597855,-66.37055206,22.0,399.980011,80.51000214,5,4,1
2984,18.27940369,-66.37062836,21.0,299.980011,59.41999817,5,4,1
2985,18.1464901,-66.57676697,21.0,299.980011,-186.08000180000002,4,4,0
2986,18.29597855,-66.37055206,28.0,399.980011,171.1100006,5,4,1
2987,18.21355438,-66.37052155,28.0,399.980011,-4.840000153,5,4,1
2988,18.26913261,-66.37063599,27.0,299.980011,-64.15000153,6,4,1
2989,18.29729271,-66.37051392,36.0,399.980011,-545.9699707000001,3,4,0
2990,18.1464901,-66.57676697,27.0,299.980011,131.0299988,4,4,0
2991,18.25482178,-66.37060547,27.0,299.980011,-73.98000336,5,4,1
2992,18.22920799,-66.37052918,27.0,299.980011,34.11999893,4,4,0
2993,18.2047329,-66.37058258,27.0,299.980011,95.54000092,5,4,1
2994,18.22215653,-66.37059784,36.0,399.980011,41.13000107,5,4,1
2995,18.29729271,-66.37051392,40.0,399.980011,107.9899979,3,4,0
2996,18.29720879,-66.37062836,30.0,299.980011,94.48999786,5,4,1
2997,18.25753784,-66.37062836,48.0,399.980011,-79.19999695,6,4,1
2998,18.24754334,-66.0253067,52.0,399.980011,90.48000336,6,4,1
2999,18.26930046,-66.37051392,52.0,399.980011,126.3199997,6,4,1
3000,18.20524597,-66.37050629,52.0,399.980011,-278.39001460000003,5,4,1
3001,18.24746704,-66.37051392,52.0,399.980011,126.3199997,5,4,1
3002,18.2979908,-66.37057495,45.0,299.980011,119.8399963,2,4,0
3003,18.28518677,-66.37059021,45.0,299.980011,89.23999786,6,4,1
3004,18.20601273,-66.37058258,60.0,399.980011,163.1900024,5,4,1
3005,18.22757149,-66.04357147,60.0,399.980011,25.5,6,4,1
3006,18.22829056,-66.37056732,24.0,149.9900055,44.09999847,3,4,0
3007,18.29424477,-66.37057495,51.0,299.980011,80.91999817,6,4,1
3008,18.28989029,-66.37056732,51.0,299.980011,16.68000031,5,4,1
3009,18.22757721,-66.04398346,51.0,299.980011,90.37999725,4,4,0
3010,18.25039673,-66.37051392,54.0,299.980011,51.65999985,4,4,0
3011,18.29729271,-66.37051392,54.0,299.980011,21.64999962,3,4,0
3012,18.26007271,-66.37057495,54.0,299.980011,-73.80000305,2,4,0
3013,18.26007271,-66.37057495,72.0,399.980011,98.40000153,5,4,1
3014,18.28989029,-66.37056732,80.0,399.980011,-28.15999985,5,4,1
3015,18.2432785,-66.37052918,60.0,299.980011,72.0,4,4,0
3016,18.20589638,-66.37057495,75.0,299.980011,19.79999924,5,4,1
3017,18.28171539,-66.37062836,0.620000005,31.07999992,-76.15000153,6,4,1
3018,18.26198769,-66.37060547,1.5499999519999998,31.07999992,-21.40999985,3,4,0
3019,18.26339531,-66.03704834,2.180000067,31.07999992,5.429999828,2,4,0
3020,18.21183014,-66.37062073,2.180000067,31.07999992,-43.36000061,3,4,0
3021,18.23510933,-66.03706360000001,4.039999962,31.07999992,12.71000004,4,4,0
3022,18.28396797,-66.37056732,4.659999847,31.07999992,7.929999828,2,4,0
3023,18.25880051,-66.03705597,5.28000021,31.07999992,9.359999657000001,3,4,0
3024,18.27760887,-66.03704834,5.28000021,31.07999992,-4.409999847,6,4,1
3025,18.21112442,-66.03705597,5.590000152999999,31.07999992,12.22999954,6,4,1
3026,18.23855782,-66.03705597,0.0,164.38000490000002,57.52999878,5,4,1
3027,18.21630096,-66.37055206,2.0,99.98999786,36.75,6,4,1
3028,18.22756958,-66.0435791,20.0,99.98999786,-5.679999828,2,4,0
3029,18.29993439,-66.37052155,15.0,299.980011,133.9400024,5,4,1
3030,18.21630096,-66.37055206,20.0,399.980011,-85.5,6,4,1
3031,18.25504875,-66.37050629,22.0,399.980011,28.35000038,2,4,0
3032,18.25504875,-66.37050629,45.0,299.980011,79.80999756,2,4,0
3033,18.21121407,-66.37052918,5.25,34.99000168,-6.4499998089999995,3,4,0
3034,18.20851517,-66.37059784,0.0,99.98999786,34.0,2,4,0
3035,18.20114517,-66.3705368,1.0,99.98999786,-62.65999985,2,4,0
3036,18.20705986,-66.37054443,2.0,99.98999786,-1.269999981,5,4,1
3037,18.43013001,-66.48731232,7.0,99.98999786,-209.2299957,4,4,0
3038,39.49591446,-98.98998261,9.0,99.98999786,25.47999954,4,4,0
3039,18.21779251,-66.37062836,10.0,99.98999786,-16.92000008,4,4,0
3040,18.2363224,-66.37055206,15.0,99.98999786,5.349999905,2,4,0
3041,18.20851517,-66.37059784,25.0,99.98999786,24.75,2,4,0
3042,18.24146652,-66.3705368,0.0,129.9900055,37.70000076,5,4,1
3043,18.2118721,-66.37052918,0.0,129.9900055,-207.9799957,5,4,1
3044,18.29723549,-66.37060547,0.0,129.9900055,4.809999943,3,4,0
3045,18.27952004,-66.37052155,0.0,129.9900055,34.18999863,3,4,0
3046,18.29729271,-66.37051392,0.0,129.9900055,47.18999863,6,4,1
3047,18.223136899999997,-66.37062073,1.299999952,129.9900055,34.75,4,4,0
3048,18.2325573,-66.37059021,1.299999952,129.9900055,-28.95999908,2,4,0
3049,18.29161835,-66.37057495,1.299999952,129.9900055,8.109999657000001,3,4,0
3050,18.20005035,-67.14024353,1.200000048,59.99000168,20.57999992,5,4,1
3051,18.2275734,-66.0435791,2.599999905,129.9900055,61.15000153,3,4,0
3052,18.21355438,-66.37052155,2.599999905,129.9900055,20.37999916,6,4,1
3053,18.23131371,-66.37062836,2.599999905,129.9900055,-89.16999817,4,4,0
3054,18.28996849,-66.37054443,3.900000095,129.9900055,35.31000137,5,4,1
3055,18.2275734,-66.0435791,3.900000095,129.9900055,60.52000046,3,4,0
3056,18.21219635,-66.37059784,3.900000095,129.9900055,11.10000038,4,4,0
3057,18.2449646,-66.37050629,3.900000095,129.9900055,-66.19999695,2,4,0
3058,18.22578239,-66.37059021,2.400000095,59.99000168,-12.96000004,4,4,0
3059,18.28279495,-66.37055969,5.1999998089999995,129.9900055,61.15000153,6,4,1
3060,18.22757149,-66.04355621,5.1999998089999995,129.9900055,57.40000153,2,4,0
3061,18.21845245,-66.37050629,5.1999998089999995,129.9900055,37.43999863,5,4,1
3062,18.21121407,-66.37052918,5.1999998089999995,129.9900055,40.56000137,3,4,0
3063,18.26153755,-66.37058258,7.150000095,129.9900055,57.74000168,6,4,1
3064,18.26503944,-66.37060547,3.299999952,59.99000168,-45.34999847,5,4,1
3065,18.23437119,-66.3706131,9.100000381000001,129.9900055,42.31000137,5,4,1
3066,18.28764534,-66.3706131,9.100000381000001,129.9900055,-5.1999998089999995,5,4,1
3067,18.22637749,-66.37062836,4.1999998089999995,59.99000168,-6.3000001910000005,6,4,1
3068,18.22637749,-66.37062836,9.100000381000001,129.9900055,40.86000061,6,4,1
3069,18.28212547,-66.37052918,9.100000381000001,129.9900055,5.1999998089999995,2,4,0
3070,18.21759033,-66.37052155,9.100000381000001,129.9900055,59.24000168,5,4,1
3071,18.23437119,-66.3706131,11.69999981,129.9900055,31.94000053,5,4,1
3072,18.28212547,-66.37052918,11.69999981,129.9900055,41.40000153,2,4,0
3073,18.24678803,-66.3706131,11.69999981,129.9900055,37.02999878,5,4,1
3074,18.27059364,-66.3705368,13.0,129.9900055,38.02000046,6,4,1
3075,18.21171761,-66.37052918,6.0,59.99000168,3.400000095,5,4,1
3076,18.43013001,-66.48731232,7.1999998089999995,59.99000168,-3.75,4,4,0
3077,18.20358658,-66.37052918,16.89999962,129.9900055,-1.4700000290000002,3,4,0
3078,18.26864052,-66.37055206,7.8000001910000005,59.99000168,25.04999924,6,4,1
3079,18.20358658,-66.37052918,19.5,129.9900055,38.66999817,3,4,0
3080,18.20323944,-66.37058258,9.0,59.99000168,25.5,3,4,0
3081,18.26299858,-66.37060547,19.5,129.9900055,14.69999981,6,4,1
3082,18.23166275,-66.37052155,9.0,59.99000168,-21.67000008,6,4,1
3083,18.20851517,-66.37059784,9.0,59.99000168,13.26000023,2,4,0
3084,18.25482178,-66.37060547,9.600000381000001,59.99000168,-78.11000061,5,4,1
3085,18.27116776,-66.37062836,20.79999924,129.9900055,19.11000061,6,4,1
3086,18.25482178,-66.37060547,20.79999924,129.9900055,-169.25,5,4,1
3087,18.23166275,-66.37052155,9.600000381000001,59.99000168,24.69000053,6,4,1
3088,18.28763008,-66.37060547,20.79999924,129.9900055,51.319999700000004,4,4,0
3089,18.22578239,-66.37059021,22.10000038,129.9900055,-172.63000490000002,4,4,0
3090,18.2977066,-66.37055969,10.19999981,59.99000168,-11.60000038,6,4,1
3091,18.223136899999997,-66.37062073,10.19999981,59.99000168,20.40999985,4,4,0
3092,18.26551628,-66.3706131,10.19999981,59.99000168,3.140000105,5,4,1
3093,18.27116776,-66.37062836,22.10000038,129.9900055,52.86999893,6,4,1
3094,18.25571251,-66.37050629,22.10000038,129.9900055,31.29000092,2,4,0
3095,18.28989029,-66.37056732,22.10000038,129.9900055,29.12999916,5,4,1
3096,18.24826622,-66.37055969,22.10000038,129.9900055,31.29000092,3,4,0
3097,18.24826622,-66.37055969,23.39999962,129.9900055,26.64999962,3,4,0
3098,18.21458244,-66.3706131,23.39999962,129.9900055,53.29999924,3,4,0
3099,18.2363224,-66.37055206,26.0,129.9900055,31.20000076,2,4,0
3100,18.26220894,-66.37062836,26.0,129.9900055,30.15999985,5,4,1
3101,18.24236298,-66.02407837,26.0,129.9900055,50.95999908,5,4,1
3102,39.5646553,-87.28941345,26.0,129.9900055,40.56000137,4,4,0
3103,18.29654884,-66.37052918,12.0,59.99000168,15.60000038,5,4,1
3104,18.35900307,-66.07807922,26.0,129.9900055,35.15000153,4,4,0
3105,18.22382355,-66.37055206,26.0,129.9900055,-24.22999954,3,4,0
3106,18.20114517,-66.3705368,26.0,129.9900055,36.40000153,3,4,0
3107,18.27165604,-66.37058258,32.5,129.9900055,6.139999866,5,4,1
3108,18.24756813,-66.02526856,32.5,129.9900055,45.819999700000004,2,4,0
3109,18.29729271,-66.37051392,32.5,129.9900055,26.80999947,6,4,1
3110,18.284805300000002,-66.37059021,32.5,129.9900055,25.35000038,6,4,1
3111,18.26864052,-66.37055206,32.5,129.9900055,0.0,6,4,1
3112,18.25675011,-66.37059784,32.5,129.9900055,43.86999893,3,4,0
3113,18.20114517,-66.3705368,32.5,129.9900055,18.52000046,3,4,0
3114,18.27434921,-66.37058258,0.5,50.0,18.3199997,2,4,0
3115,18.26153755,-66.37058258,1.0,50.0,13.22999954,6,4,1
3116,18.25590706,-66.37062073,2.5,50.0,1.190000057,2,4,0
3117,18.29351807,-66.37057495,2.75,50.0,22.68000031,4,4,0
3118,18.20114517,-66.3705368,3.599999905,39.99000168,3.640000105,2,4,0
3119,18.28996849,-66.37054443,4.5,50.0,19.5699997,5,4,1
3120,39.49591446,-98.98998261,4.5,50.0,20.93000031,4,4,0
3121,18.22015762,-66.37057495,6.0,50.0,-5.019999981000001,2,4,0
3122,18.28996849,-66.37054443,5.1999998089999995,39.99000168,-6.9600000379999996,5,4,1
3123,18.252569199999996,-66.37060547,26.0,199.9900055,19.65999985,4,4,0
3124,18.2538414,-66.37051392,6.5,50.0,14.69999981,5,4,1
3125,18.28764534,-66.3706131,8.0,50.0,-10.5,5,4,1
3126,18.25482178,-66.37060547,6.400000095,39.99000168,16.12000084,5,4,1
3127,39.5646553,-87.28941345,8.5,50.0,4.690000057,4,4,0
3128,18.29712105,-66.37052155,8.0,39.99000168,10.81000042,4,4,0
3129,18.22759247,-66.04356384,10.0,50.0,-2.839999914,3,4,0
3130,18.21487236,-66.37050629,3.359999895,47.99000168,0.44999998799999996,5,4,1
3131,18.25590706,-66.37062073,2.160000086,17.98999977,5.5399999620000004,2,4,0
3132,18.20961571,-66.37059021,8.0,31.98999977,5.7100000379999996,3,4,0
3133,18.26153755,-66.37058258,0.0,299.980011,77.98999786,6,4,1
3134,18.20323944,-66.37058258,0.0,299.980011,104.9899979,3,4,0
3135,18.2538414,-66.37051392,0.0,299.980011,108.8899994,6,4,1
3136,18.2977066,-66.37055969,0.0,399.980011,119.9899979,6,4,1
3137,18.21779251,-66.37062836,0.0,399.980011,25.20000076,3,4,0
3138,18.21058846,-66.37055206,0.0,399.980011,96.0,4,4,0
3139,18.24146652,-66.3705368,3.0,299.980011,145.5200043,5,4,1
3140,18.28989029,-66.37056732,3.0,299.980011,74.25,5,4,1
3141,18.22723579,-66.37055969,4.0,399.980011,186.1100006,4,4,0
3142,18.21058846,-66.37055206,4.0,399.980011,186.1100006,4,4,0
3143,18.22637749,-66.37062836,6.0,299.980011,79.37000275,6,4,1
3144,18.2977066,-66.37055969,6.0,299.980011,79.37000275,6,4,1
3145,18.29597855,-66.37055206,6.0,299.980011,11.17000008,4,4,0
3146,18.20961571,-66.37059021,9.0,299.980011,36.36999893,4,4,0
3147,18.25614548,-66.37063599,9.0,299.980011,-111.4499969,5,4,1
3148,18.21355438,-66.37052155,12.0,399.980011,89.23999786,6,4,1
3149,18.20114517,-66.3705368,12.0,399.980011,63.24000168,2,4,0
