,S1,S2,S3,S4
0,0.7817741078,0.0660321823,0.9812249468,0.0333880603
1,0.031240172,0.9417109331,6.31754524954186E-05,0.0203369531
2,0.9375591886,0.0002882862,0.9999611514,0.9641262925
3,0.1960575759,0.0003963865,0.0642061304,0.1542374962
4,0.7957076801,0.0003301912,0.9999999999,0.4629181648
5,0.9453020731,0.9453049144,0.9999999399,0.9942642982
6,0.999506762,0.9985878842,0.9893466012,0.8751031679
7,0.7316806006,0.0002519472,0.9999999419,0.0198080326
8,0.1977464526,0.9990754281,0.9765344683,0.9222181716
9,0.0020377984,0.000002188,8.38143948117004E-08,0.9531366842
10,0.794593409,0.9537032862,0.9913424131,0.8747342259
11,0.1896149491,0.9995069337,0.9796170864,0.9992972274
12,0.2142783606,0.9999999673,0.9739317465,0.0045844405
13,0.2064712086,0.8429265457,0.9999203576,0.9602217814
14,0.9315400863,4.62128505467851E-06,1.70137284627299E-07,0.0010918202
15,0.2008172716,0.1089746163,0.9999637302,0.0010650103
16,0.8839772511,0.9994829796,0.9458382582,0.918649584
17,0.8432901737,0.0005422131,0.9999999999,0.9219198837
18,0.9100337387,0.0275199033,0.9902473732,0.7724553837
19,0.1655247321,0.8133515825,3.93087219658152E-05,0.9993163385
20,0.937718327,0.0335896041,0.9629575115,0.8042270044
21,0.7188865243,0.9983108628,0.0320705627,0.0031519599
22,0.459638643,0.0581482987,0.9999260032,0.6515377302
23,0.9181041823,0.8007187534,0.000000074,0.7588987362
24,0.7838996702,0.8339551884,0.0634813113,0.8601905162
25,0.0168606651,0.9987181552,0.9999999355,0.9943917489
26,0.8063828947,0.8747754219,0.9999262118,0.0023554312
27,0.2210422761,0.1226550513,0.0359246351,0.9284744498
28,0.1668464876,0.1382632295,0.0288134225,0.9684625458
29,0.8078607461,0.9995907094,0.027438244,0.7626937546
30,0.9274438351,0.9519429246,0.9779436326,0.3551796304
31,0.2124682135,0.000328189,4.40044430233802E-05,0.8897002542
32,0.1521432751,0.038256908,0.9890813201,0.1765953693
33,0.877461662,0.9572007056,0.9999999999,0.7550084854
34,0.9994441021,0.8359279251,0.9999596873,0.9935445247
35,0.0024901254,0.9984701767,5.52321335489996E-05,0.2332099994
36,0.669733633,0.9999999682,0.0304860411,0.0022974737
37,0.9545081916,0.0002958238,0.9999999999,0.8787367457
38,0.7883125094,0.0003240336,0.0347840283,0.9480001408
39,0.0173847155,0.9210976659,0.9852874389,0.1553771436
40,0.9290551055,0.0363180333,0.0612223054,0.0340375944
41,0.9306223025,0.9999959622,0.0001141745,0.6187031361
42,0.898827899,0.9992199778,1.55852411098204E-07,0.6763526564
43,0.6671874321,0.9499620393,0.9890002065,0.8060697378
44,0.0223324012,0.0004886667,0.0554953545,0.9267812562
45,0.8509744767,0.8535256076,0.9887602802,0.0212556642
46,0.7962093532,0.9988374605,0.9756348304,0.0187244439
47,0.1988404497,0.0674083124,0.057620926,0.9372703872
48,0.7232962594,0.0002549296,0.949966019,0.0207303846
49,0.7242805873,0.9982573788,4.01698275742516E-05,0.9138842872
50,0.9348497844,0.9693027423,0.9748292919,0.7625655248
51,0.7285962865,0.0005438598,0.9999999338,0.1342620703
52,0.7911976646,0.0438843344,0.9905905752,0.0042867215
53,0.9635883305,0.9986493872,0.9802068323,0.8429426783
54,0.4499296648,0.955773789,0.9999349394,0.7528315665
55,0.9616986257,0.9996069025,5.55685152786778E-05,0.0017438581
56,0.9994355715,3.89336727874222E-06,0.0337583125,0.9992984503
57,0.2288112296,0.9999968065,5.74647184806278E-05,0.7891386254
58,0.0190550498,0.9772868898,0.9999547257,0.77386537
59,0.9344629018,0.9564995227,0.9999999388,0.0035439511
60,0.9665444206,0.0002294362,0.9772426438,0.0040859482
61,0.81254225,0.9986985712,0.9999196823,0.6854984159
62,0.2258707462,0.000289213,0.95111168,0.921708464
63,0.8804924802,0.000305474,0.9999273298,0.7372508313
64,0.0022300552,3.13071651954811E-06,0.9999219774,0.6530255159
65,0.8984874126,0.9983960408,0.9820298631,0.0413204372
66,0.5443448676,0.0475401158,0.0500816582,0.9631184601
67,0.1669193192,0.9376348085,0.9999280248,0.8824284869
68,0.0032105116,0.8936732784,0.9999113257,0.0042222273
69,0.0190796293,0.9988744721,9.07192905500108E-08,0.2394630857
70,0.0830806298,0.00000273,0.0301488697,0.7192891056
71,0.8664166218,0.9423117739,0.0330774586,0.0027124621
72,0.8128587385,0.9647856473,5.31471948372752E-05,0.1794478325
73,0.0020831094,0.9147233951,0.000000065,0.8058365534
74,0.4603744593,0.999996098,0.9999999999,0.1775819903
75,0.9994789337,0.9507135895,5.91363676638658E-05,0.7429603859
76,0.2389011551,3.06320949946323E-06,0.9999621001,0.0031867844
77,0.7243198421,0.9995043484,0.9999636302,0.0103878124
78,0.850415544,0.9999961756,5.3126412604153E-05,0.113663763
79,0.7023700274,0.999025025,7.76300659772687E-08,0.7592343513
80,0.7939368098,0.9984624605,0.9806511109,0.124335833
81,0.2206204378,0.8637212244,0.0598818999,0.757503352
82,0.0216913154,0.9989988486,0.9999999999,0.777063486
83,0.9513681061,0.9846931503,0.9999999999,0.8494176798
84,0.6890138919,0.8679906887,0.9569649247,0.9357161468
85,0.0023477379,0.9539130294,4.79555574736077E-05,0.3809455192
86,0.0254393271,0.999496102,0.9999999394,0.9472851332
87,0.159638087,0.9570738659,0.0347045828,0.7433850195
88,0.2336988933,0.9999999728,0.9999615209,0.0217776446
89,0.9029276392,0.9045044498,0.000000164,0.9598061192
90,0.4122830955,0.9560759825,5.27453517924829E-05,0.7625013987
91,0.0216851452,0.0002649582,0.0625492438,0.9992963309
92,0.8779060097,0.0003654491,0.000068487,0.8349983557
93,0.9954382594,2.44108415118209E-06,0.9999208218,0.2105594256
94,0.0039073992,0.9983009006,5.41580836880528E-05,0.9554322923
95,0.0033289337,0.1427579109,0.9876632971,0.9590843781
96,0.959765036,0.9486650924,0.9782364157,0.7472244448
97,0.9599160087,0.9398324247,0.9999999419,0.6569867594
98,0.1931448781,3.64950230696904E-06,0.9999999999,0.8948178579
99,0.9996868911,0.0004100303,0.9999292669,0.9592062224
100,0.9954594569,0.999352067,0.0334309297,0.0011355227
101,0.9722911996,0.0521862252,0.9999202788,0.1521450622
102,0.0263626113,0.8385819417,0.9795909706,0.8398294911
103,0.9484900811,2.32634121969789E-06,0.9809620372,0.9993409116
104,0.1605399384,0.0002633787,0.999966443,0.0026505103
105,0.7314897621,0.9600737043,5.54777934570245E-05,0.6419512712
106,0.9328746047,0.0004030902,0.9782159956,0.7109892968
107,0.0015571189,0.8313307431,1.63388434733626E-07,0.0010021039
108,0.401855089,0.9989797365,0.9999116411,0.9392476392
109,0.6637432328,0.9484876418,0.0343912684,0.959233844
110,0.0106237259,0.999996195,8.98573068187573E-08,0.8359236932
111,0.0349564904,0.9232818711,0.9532547947,0.9650930066
112,0.8125930843,0.9142407124,0.9781871752,0.7574849936
113,0.6373097234,0.0359835246,8.71588543964171E-08,0.0337212798
114,0.1833600472,0.0004773519,0.9568121244,0.9537299879
115,0.9193451058,0.9983499295,0.9999999386,0.1822608591
116,0.7776748596,0.8520285419,0.9999302502,0.0010790435
117,0.0023600844,0.9999999801,0.9999584598,0.7587317665
118,0.1631692397,0.9999999762,0.9866523484,0.0142461347
119,0.0825196148,0.9985292906,0.000083747,0.0024220804
120,0.9600495034,0.977743629,0.9574402264,0.0022854636
121,0.0025600055,0.9534360898,0.0318679494,0.9993068339
122,0.2008294085,0.999619608,0.9999651832,0.9831227506
123,0.2192597186,3.87590757297549E-06,0.0293873442,0.1946506686
124,0.949727934,0.0003643811,0.9580513764,0.3512555523
125,0.4558794699,0.054779019,0.9999632619,0.0323671397
126,0.0200704107,0.0004607766,0.0589154626,0.0023845584
127,0.2226798418,0.9999999789,0.9999999999,0.8099006878
128,0.0187313368,0.0382320411,0.9999603879,0.7578884323
129,0.9329053619,1.94245623728329E-06,0.0331770277,0.1893050837
130,0.8608863705,0.0795006828,0.9999639171,0.036929414
131,0.0036388349,0.9515966997,0.9764816474,0.6404473636
132,0.0203319405,2.30970033197768E-06,0.0597603676,0.0017834391
